"Nazwa firmy","Nazwa skrócona","Ulica, numer",Miasto,"Kod pocztowy","Osoby kontaktowe","Nowe województwo",Powiat,Gmina,"Stare województwo",Telefon(y),Fax(y),"Forma własności","Forma prawna",Email,WWW,Zatrudnienie,"Obrót roczny","Rok założenia","NACE (EKD)",SIC,"Opis działalności"
"AWAS-METAL S.J.",,"Gnieźnieńska 21, PZGS",Wągrowiec,62-453,"
Michał Abram
Wincenty Abram
",wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,"(67)2627425 2622432",(67)2627425,prywatna,"spółka jawna","<a title=""@awas-metal.pl"">biuro</a>","<a href=""http://www.teleadreson.pl/url/?k=6&amp;r=http://www.awas-metal.pl"">www.awas-metal.pl</a>",,,1998,"
<span>51.54.1</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE51541%20sprzedaz%20hurtowa%20artykulow%20metalowych"">Sprzedaż hurtowa artykułów metalowych</a>
<span>51.53</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE5153%20sprzedaz%20hurtowa%20drewna%20i%20materialow%20budowlanych"">Sprzedaż hurtowa drewna i materiałów budowlanych</a>
","
<span>507299</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC507299%20narzedzia%20i%20artykuly%20metalowe%20osobno%20nie%20wymienione%20hurt"">Narzędzia i artykuły metalowe, osobno nie wymienione, hurt</a>
<span>509902</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC509902%20drewno%20i%20uboczne%20produkty%20drewniane%20hurt"">Drewno i uboczne produkty drewniane, hurt</a>
",
"Firma Handlowa ALMARK - Oddział","FH ALMARK - Oddział","Gnieźnieńska 23",Wągrowiec,62-954,"Szymon Adamczewski",wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,(67)2638737,,prywatna,"zakład prywatny bez formy prawnej",,"<a href=""http://www.teleadreson.pl/url/?k=6&amp;r=http://www.almark.pl"">www.almark.pl</a>",,,1991,"
<span>51.35</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE5135%20sprzedaz%20hurtowa%20wyrobow%20tytoniowych"">Sprzedaż hurtowa wyrobów tytoniowych</a>
<span>51.37</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE5137%20sprzedaz%20hurtowa%20herbaty%20kawy%20kakao%20i%20przypraw"">Sprzedaż hurtowa herbaty, kawy, kakao i przypraw</a>
","
<span>5194</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC5194%20tyton%20i%20wyroby%20tytoniowe%20hurt"">Tytoń i wyroby tytoniowe, hurt</a>
<span>514909</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC514909%20kawa%20i%20herbata%20hurt"">Kawa i herbata, hurt</a>
","
papierosy, tytoń
kawa
herbata
"
"Przedsiębiorstwo Handlowo-Usługowe Colambia J. Stępak - Zakład Produkcyjny","PHU Colambia - Zakład Produkcyjny","Gnieźnieńska 71",Wągrowiec,62-842,"Janusz Stępak",wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,(67)2678571,(67)2678571,prywatna,"zakład prywatny bez formy prawnej",,"<a href=""http://www.teleadreson.pl/url/?k=6&amp;r=http://www.pierrearthes.com"">www.pierrearthes.com</a>",,,1995,"<span>24.52</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE2452%20produkcja%20wyrobow%20kosmetycznych%20i%20toaletowych"">Produkcja wyrobów kosmetycznych i toaletowych</a>","<span>2844</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC2844%20kosmetyki%20srodki%20toaletowe%20produkcja"">Kosmetyki, środki toaletowe, produkcja</a>","kosmetyki marki Pierre Arthes"
"Przedsiębiorstwo Produkcyjno-Handlowo-Usługowe HENKO D.B. Dorota Bartczak","PPHU HENKO D.B. Dorota Bartczak","Gnieźnieńska 45",Wągrowiec,62-953,,wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,(67)2658758,,prywatna,"zakład prywatny bez formy prawnej",,"<a href=""http://www.teleadreson.pl/url/?k=6&amp;r=http://www.jenko-db-meble.info"">www.jenko-db-meble.info</a>",,,,"<span>52.44.1</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE52441%20sprzedaz%20detaliczna%20mebli%20i%20umeblowania"">Sprzedaż detaliczna mebli i umeblowania</a>","<span>571299</span>Sklepy meblowe, osobno nie wymienione",
"Przedsiębiorstwo Usługowo-Handlowe CHEMIROL Sp. z o.o. - Oddział","PUH CHEMIROL Sp. z o.o. - Oddział","Gnieźnieńska 23",Wągrowiec,62-514,"dyr. Robert Smorawski",wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,(67)2663160,(67)2663160,prywatna,"spółka z o.o.","<a title=""@fhemirol.com.pl"">wagrowiec</a>","<a href=""http://www.teleadreson.pl/url/?k=6&amp;r=http://www.fhemirol.com.pl"">www.fhemirol.com.pl</a>",12,,1990,"
<span>51.55.2</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE51552%20sprzedaz%20hurtowa%20nawozow%20sztucznych"">Sprzedaż hurtowa nawozów sztucznych</a>
<span>51.55.3</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE51553%20sprzedaz%20hurtowa%20pestycydow%20i%20srodkow%20agrochemicznych"">Sprzedaż hurtowa pestycydów i środków agrochemicznych</a>
<span>51.66</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE5166%20sprzedaz%20hurtowa%20maszyn%20i%20urzadzen%20rolniczych%20lacznie%20ze%20sprzedaza%20ciagnikow"">Sprzedaż hurtowa maszyn i urządzeń rolniczych, łącznie ze sprzedażą ciągników</a>
<span>51.21.3</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE51213%20sprzedaz%20hurtowa%20pasz%20dla%20zwierzat"">Sprzedaż hurtowa pasz dla zwierząt</a>
<span>51.74</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE5174%20sprzedaz%20hurtowa%20sprzetu%20i%20artykulow%20ogrodniczych"">Sprzedaż hurtowa sprzętu i artykułów ogrodniczych</a>
<span>52.48.61</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE524861%20sprzedaz%20detaliczna%20kwiatow%20sadzonek%20i%20nasion%20oraz%20nawozow"">Sprzedaż detaliczna kwiatów, sadzonek i nasion, oraz nawozów</a>
","
<span>519101</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC519101%20nawozy%20i%20inne%20srodki%20chemiczne%20hurt"">Nawozy i inne środki chemiczne, hurt</a>
<span>508303</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC508303%20sprzet%20i%20maszyny%20rolnicze%20hurt"">Sprzęt i maszyny rolnicze, hurt</a>
<span>519102</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC519102%20pasze%20hurt"">Pasze, hurt</a>
<span>508302</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC508302%20sprzet%20i%20maszyny%20ogrodnicze%20kosiarki%20do%20trawy%20hurt"">Sprzęt i maszyny ogrodnicze, kosiarki do trawy, hurt</a>
<span>5261</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC5261%20sklepy%20z%20wyposazeniem%20ogrodniczym"">Sklepy z wyposażeniem ogrodniczym</a>
<span>599908</span>Sprzęt i wyposażenie rolnicze, handel detaliczny
",
"Wągrowiecka Spółdzielnia Pracy Samopomoc Chłopska",,"Gnieźnieńska 23",Wągrowiec,62-454,"prez. Jolanta Przybysz",wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,(67)2631834,(67)2631834,prywatna,spółdzielnia,,,,,,"
<span>51.21.3</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE51213%20sprzedaz%20hurtowa%20pasz%20dla%20zwierzat"">Sprzedaż hurtowa pasz dla zwierząt</a>
<span>51.41.1</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE51411%20sprzedaz%20hurtowa%20tkanin%20i%20materialow"">Sprzedaż hurtowa tkanin i materiałów</a>
<span>51.41</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE5141%20sprzedaz%20hurtowa%20wyrobow%20wlokienniczych"">Sprzedaż hurtowa wyrobów włókienniczych</a>
<span>52.2</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE522%20sprzedaz%20detaliczna%20zywnosci%20napojow%20i%20wyrobow%20tytoniowych%20w%20wyspecjalizowanych%20sklepach"">Sprzedaż detaliczna żywności, napojów i wyrobów tytoniowych w wyspecjalizowanych sklepach</a>
","
<span>519102</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC519102%20pasze%20hurt"">Pasze, hurt</a>
<span>5131</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC5131%20tkaniny%20pasmanteria%20hurt"">Tkaniny, pasmanteria, hurt</a>
<span>541199</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC541199%20sklepy%20spozywcze%20osobno%20nie%20wymienione"">Sklepy spożywcze, osobno nie wymienione</a>
","


"
"Wielkopolski Ośrodek Doradztwa Rolniczego w Poznaniu - Powiatowy Zespół Doradczy w Wągrowcu","WODR - Powiatowy Zespół Doradczy","Gnieźnieńska 11, Ip., Chemirol",Wągrowiec,62-952,"kier. Marian Mikołajczak",wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,(67)2619211,(67)2619211,komunalna,"powiatowa samorządowa jednostka organizacyjna","<a title=""@wodr.poznan.pl"">wagroxiec</a>","<a href=""http://www.teleadreson.pl/url/?k=6&amp;r=http://www.wodr.poznan.pl"">www.wodr.poznan.pl</a>",10,,,"<span>74.14.2</span>Doradztwo połączone z zarządzaniem (np. działalność agronomów w rolnictwie)","<span>874299</span>Doradztwo i consulting, osobno nie wymieniony","


"
"Wymar Polska Sp. z o.o.",,"Gnieźnieńska 23",Wągrowiec,62-624,,wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,(67)2636236,(67)2637530,prywatna,"spółka z o.o.","<a title=""@wymar.pl"">info</a>","
<a href=""http://www.teleadreson.pl/url/?k=6&amp;r=http://www.wymar.be"">www.wymar.be</a>
<a href=""http://www.teleadreson.pl/url/?k=6&amp;r=http://www.wymar.pl"">www.wymar.pl</a>
",,,,"
<span>25.23.12</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE252312%20produkcja%20okien%20i%20ram%20okiennych%20z%20tworzyw%20sztucznych"">Produkcja okien i ram okiennych z tworzyw sztucznych</a>
<span>51.53.2</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE51532%20sprzedaz%20hurtowa%20niedrewnianych%20materialow%20budowlanych"">Sprzedaż hurtowa niedrewnianych materiałów budowlanych</a>
","
<span>308903</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC308903%20narzedzia%20osprzet%20artykuly%20budowlane%20plastikowe%20produkcja"">Narzędzia, osprzęt, artykuły budowlane plastikowe, produkcja</a>
<span>3082</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC3082%20profile%20plastikowe%20produkcja"">Profile plastikowe, produkcja</a>
<span>503103</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC503103%20stolarka%20okienna%20i%20drzwiowa%20hurt"">Stolarka okienna i drzwiowa, hurt</a>
",
"ALMAT S.C.",,"Gnieźnieńska 23a",Wągrowiec,62-624,"
Leszek Tomczak
Tadeusz Gapiński
",wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,(67)2630932,(67)2630932,prywatna,"spółka cywilna","<a title=""@almat.com.pl"">info</a>","<a href=""http://www.teleadreson.pl/url/?k=6&amp;r=http://www.almat.com.pl"">www.almat.com.pl</a>",,,,"
<span>28.12</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE2812%20produkcja%20metalowych%20elementow%20stolarki%20budowlanej"">Produkcja metalowych elementów stolarki budowlanej</a>
<span>25.23.12</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE252312%20produkcja%20okien%20i%20ram%20okiennych%20z%20tworzyw%20sztucznych"">Produkcja okien i ram okiennych z tworzyw sztucznych</a>
<span>25.23.13</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE252313%20produkcja%20zaluzji%20z%20tworzyw%20sztucznych"">Produkcja żaluzji z tworzyw sztucznych</a>
<span>51.53.2</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE51532%20sprzedaz%20hurtowa%20niedrewnianych%20materialow%20budowlanych"">Sprzedaż hurtowa niedrewnianych materiałów budowlanych</a>
<span>45.42.1</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE45421%20instalowanie%20elementow%20stolarki%20budowlanej"">Instalowanie elementów stolarki budowlanej</a>
","
<span>344201</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC344201%20ramy%20drzwi%20i%20okien%20metalowe%20produkcja"">Ramy drzwi i okien, metalowe, produkcja</a>
<span>308903</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC308903%20narzedzia%20osprzet%20artykuly%20budowlane%20plastikowe%20produkcja"">Narzędzia, osprzęt, artykuły budowlane plastikowe, produkcja</a>
<span>503103</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC503103%20stolarka%20okienna%20i%20drzwiowa%20hurt"">Stolarka okienna i drzwiowa, hurt</a>
<span>175102</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC175102%20instalacja%20wyrob%20drzwi%20okien"">Instalacja, wyrób drzwi, okien</a>
","


"
"Powiatowa Stacja Sanitarno-Epidemiologiczna w Wągrowcu","PSSE Wągrowiec","Gnieźnieńska 21",Wągrowiec,62-953,"dyr. mgr farm. Paweł Gilewski",wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,(67)2625620,,komunalna,"powiatowa samorządowa jednostka organizacyjna","<a title=""@psse-wagrowiec.pl"">sekretariav</a>","<a href=""http://www.teleadreson.pl/url/?k=6&amp;r=http://www.psse-wagrowiec.pl"">www.psse-wagrowiec.pl</a>",30,,1956,"<span>85.14.8</span>Stacje sanitarno-epidemiologiczne","<span>495902</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC495902%20sluzby%20sanitarno%20%20epidemiologiczne"">Służby sanitarno - epidemiologiczne</a>",
"Wągrowieckie Zrzeszenie Handlu i Usług",WZHiU,"Gnieźnieńska 45",Wągrowiec,62-843,"prez. Zdzisław Gajewski",wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,(67)2658356,(67)2658356,prywatna,"samorząd gospodarczy lub zawodowy","<a title=""@wzhiu.pl"">biuro</a>","<a href=""http://www.teleadreson.pl/url/?k=6&amp;r=http://www.wzhiu.pl"">www.wzhiu.pl</a>",,,1996,"
<span>91.12</span>Organizacje profesjonalne
<span>91.11.2</span>Izby handlowe, organizacje kupieckie itp.
","
<span>8621</span>Organizacje profesjonalne
<span>861101</span>Izby przemysłowo - handlowe
","


"
"Firma Krawiecka Gracja",,"Gnieźnieńska 23",Wągrowiec,62-734,"Halina Fredrych",wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,(67)2665063,(67)2665063,prywatna,"zakład prywatny bez formy prawnej",,,25,,1995,"
<span>18.22.14</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE182214%20produkcja%20zakietow"">Produkcja żakietów</a>
<span>18.22.16</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE182216%20produkcja%20spodnic"">Produkcja spódnic</a>
","
<span>233701</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC233701%20spodnice%20garsonki%20damskie%20produkcja"">Spódnice, garsonki damskie, produkcja</a>
<span>233904</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC233904%20zakiety%20kurtki%20plaszcze%20damskie%20produkcja"">Żakiety, kurtki, płaszcze damskie, produkcja</a>
","


"
"Merx Polska Sp. z o.o.",,"Gnieźnieńska 21",Wągrowiec,62-513,"
Ryszard Kołacki
Hans Hammergren
Thomas Smedberg
",wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,(67)2628529,(67)2628529,prywatna,"spółka z o.o.","<a title=""@merxpolska.pl"">merx</a>","<a href=""http://www.teleadreson.pl/url/?k=6&amp;r=http://www.merxpolska.pl"">www.merxpolska.pl</a>",,,1981,"
<span>34.31</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE3431%20produkcja%20czesci%20i%20akcesoriow%20do%20pojazdow%20mechanicznych%20i%20ich%20silnikow"">Produkcja części i akcesoriów do pojazdów mechanicznych i ich silników</a>
<span>28.52.2</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE28522%20spawanie%20szlifowanie%20i%20inne%20specjalistyczne%20operacje%20wykonywane%20na%20metalu"">Spawanie, szlifowanie i inne specjalistyczne operacje wykonywane na metalu</a>
","
<span>3714</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC3714%20czesci%20i%20akcesoria%20do%20pojazdow%20produkcja"">Części i akcesoria do pojazdów, produkcja</a>
<span>738919</span>Obróbka metali - usługi
","
cześci do maszyn i pojazdów samochodowych oraz cześci do hydrauliki siłowej
toczenie, szlifowanie, frezowanie, wypalanie, wiercenie

"
"Rejonowe Przedsiębiorstwo Melioracyjne w Wągrowcu",,"Gnieźnieńska 45",Wągrowiec,62-233,"dyr. inż. Jan Liska",wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,(67)2651951-5,(67)2651952,"Skarb Państwa","przedsiębiorstwo państwowe",,,50,,1947,"
<span>45.24.3</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE45243%20budowa%20systemow%20melioracyjnych%20rolnych%20i%20lesnych"">Budowa systemów melioracyjnych rolnych i leśnych</a>
<span>45.33.1</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE45331%20zakladanie%20instalacji%20i%20urzadzen%20hydraulicznych%20i%20sanitarnych"">Zakładanie instalacji i urządzeń hydraulicznych i sanitarnych</a>
","
<span>162901</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC162901%20tamy%20doki%20inzynieria%20wodna%20budownictwo%20wodne"">Tamy, doki, inżynieria wodna (budownictwo wodne)</a>
<span>171102</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC171102%20zakladanie%20instalacji%20hydraulicznych"">Zakładanie instalacji hydraulicznych</a>
","
systemy melioracyjne
oczyszczalnie ścieków

"
"Powiatowy Zarząd Dróg",,"Gnieźnieńska 21",Wągrowiec,62-123,"Joanna Grzewińska",wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,(67)2620128,,komunalna,"gminna samorządowa jednostka organizacyjna",,,9,,,"
<span>45.23.1</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE45231%20budowa%20autostrad%20ulic%20placow%20drog%20oraz%20innych%20traktow%20komunikacyjnych"">Budowa autostrad, ulic, placów, dróg oraz innych traktów komunikacyjnych</a>
<span>90.06</span>Oczyszczanie dróg oraz pasów startowych ze śniegu i lodu
","
<span>1611</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC1611%20budowa%20drog%20z%20wyj%20estakad"">Budowa dróg z wyj. estakad</a>
<span>495901</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC495901%20sprzatanie%20ulic%20drog%20lotnisk%20placow"">Sprzątanie ulic, dróg, lotnisk, placów</a>
",
"Farby KABE Polska Sp. z o.o. - Oddział Handlowy",,"Gnieźnieńska 23",Wągrowiec,62-234,,wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,(67)2638335,(67)2633831,mieszana,"spółka z o.o.","<a title=""@iarbykabe.pl"">wagrowiec</a>","
<a href=""http://www.teleadreson.pl/url/?k=6&amp;r=http://www.kabe.com.pl"">www.kabe.com.pl</a>
<a href=""http://www.teleadreson.pl/url/?k=6&amp;r=http://www.iarbykabe.pl"">www.iarbykabe.pl</a>
",,,,"
<span>51.53.2</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE51532%20sprzedaz%20hurtowa%20niedrewnianych%20materialow%20budowlanych"">Sprzedaż hurtowa niedrewnianych materiałów budowlanych</a>
<span>51.44.3</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE51443%20sprzedaz%20hurtowa%20farb%20i%20lakierow"">Sprzedaż hurtowa farb i lakierów</a>
","
<span>503299</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC503299%20materialy%20budowlane%20murarskie%20osobno%20nie%20wymienione%20hurt"">Materiały budowlane murarskie, osobno nie wymienione, hurt</a>
<span>503202</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC503202%20tynki%20i%20zaprawy%20hurt"">Tynki i zaprawy, hurt</a>
<span>519801</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC519801%20farby%20hurt"">Farby, hurt</a>
<span>503302</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC503302%20materialy%20izolacyjne%20hurt"">Materiały izolacyjne, hurt</a>
<span>5198</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC5198%20farby%20lakiery%20i%20artykuly%20pokrewne%20hurt"">Farby, lakiery i artykuły pokrewne, hurt</a>
<span>503205</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC503205%20cement%20beton%20hurt"">Cement, beton, hurt</a>
","


"
